actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2022,2073719.6122,19187.1264,,,
Productores de Servicios,B,Pesca y servicios conexos ,2022,46208.4062,510.2878,,,
Productores de Bienes,C,Explotación de minas y canteras ,2022,51864.6804,702.0759,,,
Productores de Bienes,D,Industria Manufacturera ,2022,5896491.6883,59907.2291,,,
Productores de Servicios,E,"Electricidad, gas y agua ",2022,520508.5469,3916.5476,,,
Productores de Bienes,F,Construcción ,2022,1473360.7641,12616.6209,,,
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2022,4544679.6804,33727.4725,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2022,382815.4739,2501.2202,,,
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2022,1542325.5077,22412.2341,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2022,518957.8324,4391.6988,,,
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2022,2804719.1470,26677.0483,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2022,1258452.7593,8447.0004,,,
Productores de Servicios,M,Enseñanza ,2022,1335084.2229,8594.2278,,,
Productores de Servicios,N,Servicios sociales y de salud ,2022,1258953.7889,7116.1158,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2022,523372.3028,4372.0302,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2022,201859.2940,1768.3537,,,
Impuestos,,IVA y otros impuestos a los productos,2023,11290718.69,44395.99,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2023,4634734.69,15253.86,,,
Productores de Servicios,B,Pesca y servicios conexos ,2023,97335.32,508.99,,,
Productores de Bienes,C,Explotación de minas y canteras ,2023,132730.67,744.74,,,
Productores de Bienes,D,Industria Manufacturera ,2023,14368361.53,59463.27,,,
Productores de Servicios,E,"Electricidad, gas y agua ",2023,1136009.06,4003.94,,,
Productores de Bienes,F,Construcción ,2023,3337228.52,12466.49,,,
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2023,10912296.22,33639.22,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2023,1021245.62,2670.34,,,
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2023,3365804.79,22361.33,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2023,1057425.77,4210.17,,,
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2023,5903242.36,27343.46,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2023,2962001.08,8672.41,,,
Productores de Servicios,M,Enseñanza ,2023,3176900.33,8817.66,,,
Productores de Servicios,N,Servicios sociales y de salud ,2023,2890529.31,7332.80,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2023,1587531.43,4465.65,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2023,478300.21,1816.40,,,
